School Giga ID,School Name,Longitude,Latitude,Education Level,Country ISO3 Code,Country Name,School Data Source
9a7fcc85-a7d3-3bdb-9f17-ea6a4f740f9f,BOLIKELA,27.0722599029541,-29.625938415527344,Primary,LSO,Lesotho,
9d43759b-becf-30d8-a2d0-58d2cc3aeb58,BOLIKELA AME,27.0914306640625,-29.619552612304688,Primary,LSO,Lesotho,
75638e06-3689-3537-879d-676c0734a30d,BOLULA,27.9502010345459,-30.207265853881836,Primary,LSO,Lesotho,
96e89b17-79d4-3200-9ebf-a257dc01a4a8,BOLUMATAU LEC PRIMARY,27.178958892822266,-29.712892532348633,Primary,LSO,Lesotho,
9540e21b-4012-3277-9f60-c4c1dec1e21e,BONGALLA,27.224550247192383,-29.694374084472656,Primary,LSO,Lesotho,
8ccfacc0-5fd6-33e9-bb09-2e41a035046e,BONHOMME COMMERCIAL,27.477745056152344,-30.10039520263672,Secondary,LSO,Lesotho,
a6ffbb6d-e23d-362f-8a4d-2cb641d2f64a,BOOSE,27.881542205810547,-29.094154357910156,Primary,LSO,Lesotho,
57de2d03-4f67-3eb5-af59-ab09363caa67,BOPELI PRIMARY SCHOOL,27.507701873779297,-29.54150390625,Primary,LSO,Lesotho,
5cf40edc-ab8e-3d72-a9e7-3a6dd4101d98,BOQATE ACL,27.585695266723633,-29.356460571289062,Primary,LSO,Lesotho,
ebcd1e3e-4d10-3df7-bed4-c2f0ac97c0c1,BOQATE A.C.L,27.600000381469727,-29.399999618530273,Secondary,LSO,Lesotho,
b3aabaed-55fc-3bec-b439-18dce83a1de0,BOQATE L.E.C PRIMARY,27.61168098449707,-29.336240768432617,Primary,LSO,Lesotho,
c0394539-a42e-3f5b-859c-15a4510bee0d,BORIBENG,28.198781967163086,-28.82378387451172,Primary,LSO,Lesotho,
5ebbdfed-a88a-3d87-ad2b-75f9e220b81f,BORIBENG,28.196592330932617,-28.822925567626953,Secondary,LSO,Lesotho,
804c5a42-2fe9-3790-952f-f6d0973c32da,BORITSA LEC,27.765335083007812,-30.035839080810547,Primary,LSO,Lesotho,
5d26ea43-5781-3806-a0f7-c0ea6b337f99,BOSCO,28.141582489013672,-29.173051834106445,Primary,LSO,Lesotho,
eb69bed3-93c1-3092-aeac-2b9de8f83863,BOTHOBA PELO PRIMARY,27.430997848510742,-30.147737503051758,Primary,LSO,Lesotho,
8d05f0ea-00a6-3c74-b91f-3da6f345d726,BOTS'OELA,27.604307174682617,-29.805469512939453,Primary,LSO,Lesotho,
e531753e-5c35-35ad-8e23-e0a3d79f5345,BRAIPALA,28.121660232543945,-29.68522071838379,Primary,LSO,Lesotho,
801d111a-c364-3cf0-8a23-92e39aed0a22,BULU BULU,27.506046295166016,-30.14421272277832,Primary,LSO,Lesotho,
c46c178d-1b9a-3f51-8ff5-eb75f192687c,BUTHA-BUTHE,28.256412506103516,-28.762975692749023,Secondary,LSO,Lesotho,
b02ded36-e878-32e9-9d41-98ddfd026ef9,BUTHA-BUTHE CAMP PRIMARY,28.299999237060547,-28.799999237060547,Primary,LSO,Lesotho,
65bae742-918f-3594-978b-f621e1ae3cf5,BUTHA-BUTHE COMMUNITY,28.28719139099121,-28.74171257019043,Secondary,LSO,Lesotho,
dcd13619-16ae-35d0-b9c8-0eac80058ec8,BUTHA-BUTHE MOPELI,28.281118392944336,-28.75634765625,Primary,LSO,Lesotho,
41f23ca8-af61-36d8-86fe-d084b6b0fadf,BUTHA-BUTHE PRIMARY,28.247438430786133,-28.76107406616211,Primary,LSO,Lesotho,
f2cffd40-2c77-31f4-b550-4c88256573ce,CANA,27.83342933654785,-29.11371612548828,Primary,LSO,Lesotho,
7be1d1a3-75ba-3785-98d0-bcc4cdb05a1d,CANA HIGH SCHOOL,27.685672760009766,-29.123666763305664,Secondary,LSO,Lesotho,
12eeed80-b949-3b83-a715-d7c85d5df56b,CARTWRIGHT,28.360671997070312,-28.800580978393555,Primary,LSO,Lesotho,
633fc9ce-1c33-3abe-8837-3a64f99a36ec,CENEZ,27.566970825195312,-29.27133560180664,Primary,LSO,Lesotho,
effe0f0b-400b-3189-8640-e5d332b8aa2c,CENEZ HIGH SCHOOL,27.55168914794922,-29.2908992767334,Secondary,LSO,Lesotho,
e223247b-f3ce-32e4-86da-476687d1693b,CHABANA,28.92695426940918,-29.978742599487305,Primary,LSO,Lesotho,
1199b555-9abf-3040-b2eb-1ec6ce428d59,CHABATSANE,28.305879592895508,-28.99575424194336,Secondary,LSO,Lesotho,
f282edc1-3fdd-3ff8-972f-56c9f61a0d1a,CHABATSANE PRIMARY SCHOOL,28.30470085144043,-28.998010635375977,Primary,LSO,Lesotho,
20d86845-e646-35d5-8f9b-81c97fff26cd,CHAKA,27.934757232666016,-28.863826751708984,Primary,LSO,Lesotho,
707d2180-0799-312c-b00e-c9fd4096670b,CHILDREN OF GLORY,27.219999313354492,-29.799999237060547,Primary,LSO,Lesotho,
34495ca4-7798-3649-9d85-316dc8656252,CHOOKO ACL,28.27188491821289,-29.545299530029297,Primary,LSO,Lesotho,
862ed5e8-5c67-35ff-9203-4e4077637f58,CHRISTIAN ACADEMY,28.103200912475586,-28.985748291015625,Primary,LSO,Lesotho,
c8cdb33d-9445-3975-bede-2b48da43e5b5,CHRIST THE KING,28.299501419067383,-30.029762268066406,Primary,LSO,Lesotho,
3b451dff-16d2-3e9b-b4e1-b51e0889df71,CHRIST THE KING,27.7296199798584,-29.458017349243164,Secondary,LSO,Lesotho,
35b83d32-3ef6-3e13-93bf-7f6f409031a0,CHRIST THE SAVIOUR,27.960777282714844,-29.105501174926758,Secondary,LSO,Lesotho,
0cccce71-3dd6-3aec-be04-f38629fe8c5e,CORN-EXCHANGE PRIMARY,28.0,-29.0,Primary,LSO,Lesotho,
665b8e01-2fc9-359e-b6f3-801a6aab6da2,DAHON PRIMARY,28.0,-29.100000381469727,Secondary,LSO,Lesotho,
933734b0-29e5-37c6-94b7-9ca4fba52644,DALEWE,27.961036682128906,-30.394271850585938,Primary,LSO,Lesotho,
a9c48cdd-8172-394c-8d3d-a02e432cb62d,DANGER'S HOEK,27.78255844116211,-30.61662483215332,Primary,LSO,Lesotho,
09fc41b7-8cb9-37ac-bc28-ad7a777a27f6,DANIEL DANYELE,27.91607093811035,-30.129220962524414,Primary,LSO,Lesotho,
079bbdc2-50ca-3116-9751-3435961699e5,EAGLES HIGH SCHOOL,27.932392120361328,-28.89151954650879,Secondary,LSO,Lesotho,
c1b63efd-dca8-3b4e-a9ba-8c4238dfef58,EAGLE'S PEAK,28.63847541809082,-30.09829330444336,Secondary,LSO,Lesotho,
d644566e-1c0e-3843-bb5f-cae936717cd4,EBEN-EZER,28.152263641357422,-28.770401000976562,Primary,LSO,Lesotho,
71e74207-c959-3957-8fbb-fde1fac83076,EMMANUEL,28.163795471191406,-28.797616958618164,Primary,LSO,Lesotho,
3b7bd6b8-ed10-3d2b-95de-5b471823a650,EMMANUEL,28.16292953491211,-28.799694061279297,Secondary,LSO,Lesotho,
2c21a992-49a5-312c-a9ef-1f4b2cb90a41,EMMANUEL ENGLISH MEDIUM HIGH SCHOOL,27.738433837890625,-29.073312759399414,Secondary,LSO,Lesotho,
c41f8cf7-f321-3bd1-b13e-462617f103f4,EMMAUS,27.545255661010742,-29.753150939941406,Primary,LSO,Lesotho,
2d4cf5c0-9312-3fde-94bd-a8d803d3f6a1,EMMNUEL ENGLISH MED,27.600000381469727,-29.200000762939453,Primary,LSO,Lesotho,
cfcdc9f7-7e37-3b70-b9a8-34a340e54c3c,FALIMEHANG COMMUNITY,27.587642669677734,-29.412187576293945,Primary,LSO,Lesotho,
bce6afe1-c900-3842-aabc-607ab7c6b3a4,FANTISI,28.1200008392334,-29.3799991607666,Primary,LSO,Lesotho,
437a9e6a-0cc1-3d24-969e-d1f05390b9d5,FATIMA,27.781240463256836,-29.662485122680664,Primary,LSO,Lesotho,
89647d37-576e-39a7-9f81-585e5deeabb0,FIKA LA TS'OENE,27.667448043823242,-30.33284568786621,Primary,LSO,Lesotho,
f58f2182-3e8b-3bf5-9c0f-64085e89b130,FIKA-LEA-OA,28.22026252746582,-29.623830795288086,Primary,LSO,Lesotho,
3e8dec88-a66a-3e60-a8d7-ec2b57360348,FIKA-LE-MAHLOANA,27.976808547973633,-30.321184158325195,Primary,LSO,Lesotho,
d90d309b-daaf-3ddd-94cd-2ecc9402a81a,FIKA-LE-MAHLOANA (MOHLORI),28.02547264099121,-30.31742286682129,Primary,LSO,Lesotho,
2e8d9659-2bbb-37e6-8568-f7fbb8b65e30,FIKA-LE-MOHALA,27.538463592529297,-29.44924545288086,Primary,LSO,Lesotho,
842c6bf3-c03b-3e7f-9df7-7bdda842bd6d,FIRI PRIMARY,28.520000457763672,-29.43000030517578,Primary,LSO,Lesotho,
e0e2b48d-57bd-30ca-8e96-252d5625d94b,FOBANE PRIMARY SCHOOL,27.87737464904785,-29.051979064941406,Primary,LSO,Lesotho,
dd829656-9e69-3992-9caa-00c2df86fa82,FOBANE SECONDARY SCHOOL,27.879695892333984,-29.052654266357422,Secondary,LSO,Lesotho,
b6027a4e-4c0b-35c7-a88c-0e924c11e554,FR.MENARD,27.371694564819336,-29.5063533782959,Primary,LSO,Lesotho,
3f1d7399-b0f4-3e3f-9e12-454cbfb8533c,FURUMELA (QOMO-QOMO),27.833547592163086,-29.50423240661621,Primary,LSO,Lesotho,
5fdfe14d-5b1a-30ed-9acb-aac8aceb8ac8,FUSI,27.637971878051758,-29.131196975708008,Primary,LSO,Lesotho,
72c564b7-f129-3a28-a1d5-b2ff5479c859,GABASHANE PRIMARY SCHOOL,27.764657974243164,-29.291255950927734,Primary,LSO,Lesotho,
83e915f7-cdbf-36c5-9b2c-0a03d2ee1764,GATEWAY ENG.MEDIUM,27.52526092529297,-29.297643661499023,Primary,LSO,Lesotho,
204db3c7-8387-37b8-a7a5-2d0eef3d1f0d,GAUDA,28.512189865112305,-29.1571102142334,Primary,LSO,Lesotho,
baefe747-7630-3b23-afa5-cb08c8b01f1c,GETHSEMANY,27.882930755615234,-29.1807861328125,Primary,LSO,Lesotho,
